s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right,d_left
7.978775407899108885e+00,1.127151161786232159e+01,4.866036813103138847e+00,1.510950832649823106e+00,3.877891203365713690e-01,3.253603563816075628e+00,-4.788338390039335035e-01,9.513382658818693161e-01,5.984670811820642644e-01
8.078510100497847901e+00,1.117186460423293859e+01,4.870071218438476457e+00,1.549757161086668500e+00,3.905000279490005721e-01,3.238892319759766991e+00,-4.885099796320853116e-01,9.472002672190237282e-01,6.024205782028396738e-01
8.178244793096586918e+00,1.107213632897006228e+01,4.870222167881458120e+00,1.588862975418690482e+00,3.937911015267049342e-01,3.223814615280903517e+00,-4.904889532472000435e-01,9.469680888425831000e-01,6.024729339231805758e-01
8.277979485695325934e+00,1.097247895950317975e+01,4.866456682428400349e+00,1.628327371029415715e+00,3.977000860796244819e-01,3.208604547735415036e+00,-4.813480293543022648e-01,9.509515890599569143e-01,5.850746297165877463e-01
8.377714178294064951e+00,1.087304971145879584e+01,4.858741859200694790e+00,1.668212231776710297e+00,4.022178863933976167e-01,3.193607513184277824e+00,-4.641915568473659603e-01,9.610794954379777710e-01,5.594517105327198037e-01
8.477448870892803967e+00,1.077400978753358629e+01,4.847045114632945406e+00,1.708580101909362270e+00,4.073987742865936568e-01,3.179078002158623129e+00,-4.385473716253509568e-01,9.792647462603626396e-01,5.339759583903869178e-01
8.577183563491542984e+00,1.067552732862058562e+01,4.831334508696823349e+00,1.749497402588378492e+00,4.132289961769062270e-01,3.165289902870001448e+00,-4.027631764624377553e-01,1.003921456592856032e+00,5.151992600961511348e-01
8.676918256090282000e+00,1.057777575312352525e+01,4.811578956533804075e+00,1.791031337589638284e+00,4.197816127010711718e-01,3.152573749497644684e+00,-3.560177868929123579e-01,1.037360657370498096e+00,4.949888074977149000e-01
8.776652948689019240e+00,1.048093747615429194e+01,4.787748955150877173e+00,1.833254402310652509e+00,4.270410925136951530e-01,3.141290594158831162e+00,-2.958596119140813885e-01,1.076108588036500446e+00,4.768025993191688516e-01
8.876387641287758257e+00,1.038520164466623541e+01,4.759816647549431678e+00,1.876240765392198639e+00,4.351093277882789878e-01,3.131883085630349228e+00,-2.210783757648756565e-01,1.106876242709550207e+00,4.625055943326594199e-01
8.976122333886497273e+00,1.029076868391477362e+01,4.727757089753694686e+00,1.920071124389258976e+00,4.439512008523761599e-01,3.124834922738031651e+00,-1.282540599085885413e-01,1.137792187480742845e+00,4.539392716465379118e-01
9.075857026485236290e+00,1.019784736791371316e+01,4.691548247876498934e+00,1.964826221629315306e+00,4.536863142366044932e-01,3.120738780462753326e+00,-4.644880873067219057e-02,1.172058735519291517e+00,4.226975773460904806e-01
9.175591719083975306e+00,1.010666010098737821e+01,4.651173369372263444e+00,2.010564024768815017e+00,4.616819958366588095e-01,3.119253984619317688e+00,-3.758458751153499755e-02,1.209439918744604769e+00,3.995412918080035736e-01
9.275326411682714323e+00,1.001742377046863375e+01,4.606649069562086751e+00,2.056659659042152200e+00,4.628558943946323723e-01,3.118052027468378284e+00,-3.758458751154390709e-02,1.249504106781264445e+00,3.862114925956137146e-01
9.375061104281453339e+00,9.930340544195955133e+00,4.558056476132668955e+00,2.102789138121093693e+00,4.543970162597264495e-01,3.116849606804254602e+00,5.760652528881191059e-02,1.294219387153166423e+00,3.847258779295374964e-01
9.474795796880192356e+00,9.845531263367146124e+00,4.505591467249580262e+00,2.146156487944806734e+00,4.153908058986508500e-01,3.118692387783469577e+00,4.732982068003540599e-01,1.320906221461891183e+00,3.978401804828268773e-01
9.574530489478931372e+00,9.762963654343927544e+00,4.449655506750642253e+00,2.185645187100766051e+00,3.745959363486692228e-01,3.133791746741332762e+00,8.745062846709579230e-01,1.249786579021417543e+00,4.124694096964023893e-01
9.674265182077670389e+00,9.682540967283143729e+00,4.390681639942299874e+00,2.220598833554198848e+00,3.263882115400283390e-01,3.161500900347608667e+00,1.336606351853712127e+00,1.182492602584847896e+00,4.255604459199426315e-01
9.773999874676409405e+00,9.604077196185006216e+00,4.329118603771482832e+00,2.250765447956018406e+00,2.786107545337129232e-01,3.203388829061193377e+00,1.783641119588016188e+00,1.121668257470933350e+00,4.499214383032222875e-01
9.873734567275146645e+00,9.527355311667975002e+00,4.265400297429316367e+00,2.276174335109766744e+00,2.309366616602171185e-01,3.258447757397868738e+00,2.234548146366313492e+00,1.063523745440464907e+00,4.846262091472364197e-01
9.973469259873885662e+00,9.452118960508935075e+00,4.199929764600271120e+00,2.296836525983670718e+00,1.834295621882140181e-01,3.326139764447828107e+00,2.702432624705926933e+00,1.003639384763984843e+00,5.300270174376640053e-01
1.007320395247262468e+01,9.378093738806922985e+00,4.133094685160556558e+00,2.312762614908663306e+00,1.359425648527579356e-01,3.406208787909037028e+00,3.202657883798226024e+00,9.392041552882371969e-01,5.677009879776452328e-01
1.017293864507136369e+01,9.304979979061679174e+00,4.065260704379445755e+00,2.323954465104108635e+00,8.849475584774296744e-02,3.498726983619590669e+00,3.749042083829126071e+00,8.797030008027687531e-01,6.080936145410009708e-01
