x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
12.717292,17.847768,1.3829,1.3171,2.927030,0.039023,4.0000
12.470072,17.900368,1.3476,1.3524,2.936656,0.037200,4.0000
12.222292,17.950656,1.3373,1.4100,2.945858,0.035632,4.0000
11.974257,17.998674,1.2792,1.4208,2.954610,0.033719,4.0000
11.726532,18.044450,1.2488,1.4512,2.963343,0.035428,4.0000
11.477774,18.088122,1.2701,1.5289,2.971933,0.032734,4.0000
11.228995,18.129681,1.1960,1.5120,2.980173,0.032557,4.0000
10.979865,18.169199,1.1667,1.5333,2.988482,0.033195,4.0000
10.729422,18.206774,1.1406,1.5594,2.996513,0.030391,4.0000
10.478958,18.242385,1.1651,1.6349,3.003674,0.026463,4.0000
10.230835,18.275978,1.1399,1.6601,3.010566,0.028494,4.0000
9.984029,18.307607,1.1205,1.6795,3.018314,0.033284,4.0000
9.734589,18.337466,1.1034,1.6966,3.026442,0.031561,4.0000
9.483486,18.365501,1.1108,1.7364,3.034395,0.031386,4.0000
9.230718,18.391688,1.0710,1.7290,3.042039,0.029094,4.0000
8.978934,18.415897,1.0536,1.7464,3.049469,0.029690,4.0000
8.728458,18.438089,1.0382,1.7618,3.057445,0.033367,4.0000
8.476247,18.458297,1.0239,1.7761,3.065476,0.030623,4.0000
8.226408,18.476378,1.0354,1.8163,3.073529,0.033516,4.0000
7.977521,18.492295,1.0498,1.8502,3.082384,0.036922,4.0000
7.725619,18.506063,1.0413,1.8587,3.091550,0.036147,4.0000
7.473485,18.517539,1.0337,1.8663,3.100758,0.037043,4.0000
7.222646,18.526613,1.0438,1.8887,3.110491,0.039801,4.0000
6.968584,18.533247,1.0741,1.9259,3.120656,0.040367,4.0000
6.712473,18.537296,1.0685,1.9315,3.130955,0.041031,4.0000
6.460523,18.538652,1.0636,1.9364,-3.141272,0.045680,4.0000
6.210841,18.537135,1.0617,1.9383,-3.129337,0.049283,4.0000
5.960041,18.532518,1.0636,1.9364,-3.116727,0.050832,4.0000
5.706104,18.524582,1.1038,1.9689,-3.103499,0.054008,4.0000
5.452600,18.513179,1.1218,1.9782,-3.089276,0.058500,4.0000
5.201312,18.498149,1.1288,1.9712,-3.074100,0.061527,4.0000
4.949968,18.479203,1.1392,1.9608,-3.058240,0.064132,4.0000
4.697910,18.456091,1.1525,1.9475,-3.041537,0.068096,4.0000
4.446210,18.428630,1.2183,1.9817,-3.023856,0.071566,4.0000
4.194925,18.396596,1.2375,1.9625,-3.005303,0.074879,4.0000
3.944032,18.359762,1.2224,1.9030,-2.985932,0.077831,4.0000
3.693394,18.317891,1.2355,1.8645,-2.965766,0.080867,4.0000
3.443078,18.270762,1.3141,1.8859,-2.945037,0.081530,4.0000
3.192061,18.218062,1.3460,1.8540,-2.923521,0.086609,4.0000
2.941648,18.159647,1.4279,1.8721,-2.900117,0.096391,4.0000
2.694641,18.095557,1.4248,1.8021,-2.874902,0.100973,4.0000
2.450471,18.025458,1.4992,1.8008,-2.848983,0.102465,4.0000
2.207748,17.948877,1.5932,1.8068,-2.822638,0.104248,4.0000
1.965926,17.865447,1.6176,1.7312,-2.795246,0.110186,4.0000
1.725939,17.774995,1.6973,1.7027,-2.766320,0.115403,4.0000
1.488103,17.677213,1.7964,1.6787,-2.733782,0.139693,4.0000
1.256706,17.572272,1.8647,1.6187,-2.694413,0.173098,4.0000
1.035995,17.460390,1.9756,1.6136,-2.646731,0.215718,3.7603
0.829389,17.341671,2.0415,1.5736,-2.588264,0.281936,3.4278
0.641626,17.216790,2.1463,1.5945,-2.517174,0.352202,3.2244
0.473851,17.085470,2.2887,1.6757,-2.433604,0.438662,3.0197
0.328010,16.948323,2.2741,1.6259,-2.338798,0.499293,2.8304
0.201000,16.802956,2.0762,1.4238,-2.238753,0.513747,2.7903
0.087579,16.643568,1.9457,1.3201,-2.140267,0.476698,2.8967
-0.015215,16.465238,1.8341,1.2659,-2.049450,0.402044,3.1026
-0.108469,16.265754,1.7189,1.2366,-1.971045,0.315348,3.3087
-0.192449,16.046331,1.6354,1.2646,-1.906856,0.238158,3.5152
-0.267491,15.810507,1.5698,1.3302,-1.856152,0.177428,3.7205
-0.334204,15.563122,1.4982,1.4018,-1.817469,0.128936,3.9216
-0.393421,15.310389,1.4267,1.4733,-1.789051,0.092638,4.0000
-0.446049,15.058829,1.3639,1.5361,-1.766230,0.085209,4.0000
-0.492546,14.809657,1.2949,1.5685,-1.743767,0.091068,4.0000
-0.533194,14.560054,1.2219,1.5781,-1.721134,0.087692,4.0000
-0.568312,14.309492,1.1857,1.6143,-1.699623,0.082381,4.0000
-0.598209,14.058178,1.1549,1.6451,-1.679299,0.078097,4.0000
-0.623182,13.805778,1.1271,1.6729,-1.660378,0.071434,4.0000
-0.643540,13.553505,1.1524,1.7476,-1.642856,0.067048,4.0000
-0.659581,13.301519,1.1308,1.7692,-1.626469,0.062757,4.0000
-0.671603,13.049944,1.1124,1.7876,-1.611197,0.058512,4.0000
-0.679899,12.798880,1.0588,1.7642,-1.597027,0.054304,4.0000
-0.684762,12.548395,1.0355,1.7645,-1.584130,0.049101,4.0000
-0.686540,12.300905,1.0271,1.7729,-1.572085,0.047423,4.0000
-0.685401,12.052314,1.0253,1.7747,-1.560874,0.042391,4.0000
