x_m,y_m
18.891800,-8.482800
18.841800,-8.482800
18.791800,-8.482800
18.741800,-8.482800
18.691800,-8.482800
18.641800,-8.482800
18.591800,-8.482800
18.541800,-8.482800
18.491800,-8.482800
18.441800,-8.482800
18.391800,-8.482800
18.341800,-8.482800
18.291800,-8.482800
18.241800,-8.482800
18.191800,-8.482800
18.141800,-8.482800
18.091800,-8.482800
18.041800,-8.482800
17.991800,-8.482800
17.941800,-8.482800
17.891800,-8.482800
17.841800,-8.482800
17.791800,-8.482800
17.741800,-8.482800
17.691800,-8.482800
17.641800,-8.482800
17.591800,-8.482800
17.541800,-8.482800
17.491800,-8.482800
17.441800,-8.482800
17.391800,-8.482800
17.341800,-8.482800
17.291800,-8.482800
17.241800,-8.482800
17.191800,-8.482800
17.141800,-8.482800
17.091800,-8.482800
17.041800,-8.482800
16.991800,-8.482800
16.941800,-8.482800
16.891800,-8.482800
16.841800,-8.482800
16.791800,-8.482800
16.741800,-8.482800
16.691800,-8.482800
16.641800,-8.482800
16.591800,-8.482800
16.541800,-8.482800
16.491800,-8.482800
16.441800,-8.482800
16.391800,-8.482800
16.341800,-8.482800
16.291800,-8.482800
16.241800,-8.482800
16.191800,-8.482800
16.141800,-8.482800
16.091800,-8.482800
16.041800,-8.482800
15.991800,-8.482800
15.941800,-8.482800
15.891800,-8.482800
15.841800,-8.482800
15.791800,-8.482800
15.741800,-8.482800
15.691800,-8.482800
15.641800,-8.482800
15.591800,-8.482800
15.541800,-8.482800
